Beat,Lane,Type,Length
201.859,2,N,0
202.859,1,N,0
203.911,3,N,0
204.437,0,N,0
204.964,2,N,0
205.463,1,N,0
205.963,3,N,0
206.49,0,N,0
206.989,2,N,0
207.41,1,N,0
207.91,3,N,0
208.121,0,N,0
208.437,2,N,0
208.673,1,N,0
208.91,3,N,0
209.068,0,N,0
209.41,2,N,0
209.542,1,N,0
209.857,3,N,0
210.91,0,N,0
211.91,0,N,0
212.41,2,N,0
212.646,1,N,0
212.909,2,N,0
213.383,0,N,0
213.883,3,N,0
214.436,1,N,0
214.672,3,N,0
214.909,1,N,0
215.383,3,N,0
215.698,0,N,0
215.935,2,N,0
216.488,3,N,0
216.725,0,N,0
216.988,2,N,0
217.251,1,N,0
217.488,3,N,0
217.672,0,N,0
217.961,2,N,0
218.119,1,N,0
218.619,3,N,0
218.908,0,N,0
219.382,2,N,0
219.724,1,N,0
220.408,3,N,0
220.619,1,N,0
220.908,3,N,0
221.513,0,N,0
222.013,2,N,0
222.513,1,N,0
222.96,5,R,0
223.513,0,N,0
224.065,3,N,0
224.513,0,N,0
225.039,2,N,0
225.539,1,N,0
226.039,4,L,3.947
227.065,2,N,0
228.038,3,N,0
229.117,2,N,0
230.064,3,N,0
231.117,0,N,0
232.117,2,N,0
232.774,1,N,0
233.037,3,N,0
234.143,0,N,0
235.142,2,N,0
235.563,1,N,0
235.905,3,N,0
236.09,0,N,0
236.326,2,N,0
236.721,1,N,0
237.01,3,N,0
237.537,1,N,0
238.063,5,R,3.526
239.063,1,N,0
239.615,0,N,0
240.115,1,N,0
240.589,0,N,0
241.062,1,N,0
241.957,4,L,3.499
243.115,3,N,0
244.167,2,N,0
245.167,3,N,0
246.114,0,N,0
246.64,3,N,0
247.219,1,N,0
247.693,2,N,0
248.14,0,N,0
248.64,3,N,0
249.245,1,N,0
250.14,2,N,0
