Beat,Lane,Type,Length
86.564,3,N,0
87.169,2,N,0
88.169,3,N,0
89.142,3,N,0
89.589,0,N,0
89.879,2,N,0
90.089,1,N,0
90.589,3,N,0
90.931,0,N,0
91.194,2,N,0
91.642,1,N,0
91.852,3,N,0
92.115,1,N,0
92.641,2,N,0
92.931,0,N,0
93.194,2,N,0
93.72,1,N,0
93.931,3,N,0
94.141,0,N,0
94.457,2,N,0
94.694,1,N,0
94.93,3,N,0
95.115,0,N,0
95.457,2,N,0
95.667,1,N,0
95.983,3,N,0
96.457,0,N,0
97.193,2,N,0
98.246,0,N,0
99.193,0,N,0
100.245,1,N,0
101.245,1,N,0
102.35,1,N,0
103.245,2,N,0
104.297,2,N,0
105.244,3,N,0
106.297,3,N,0
107.139,2,N,0
108.27,2,N,0
109.27,1,N,0
110.27,1,N,0
111.191,0,N,0
112.217,0,N,0
113.19,0,N,0
113.717,1,N,0
114.348,2,N,0
114.848,3,N,0
115.401,2,N,0
115.821,2,N,0
116.295,1,N,0
116.927,0,N,0
117.453,0,N,0
117.874,0,N,0
118.347,1,N,0
118.821,1,N,0
119.373,2,N,0
119.821,2,N,0
120.4,3,N,0
120.873,3,N,0
121.399,2,N,0
122.399,1,N,0
122.873,0,N,0
123.294,3,N,0
123.952,1,N,0
124.452,2,N,0
124.925,0,N,0
125.372,3,N,0
125.583,1,N,0
125.899,2,N,0
126.057,1,N,0
126.346,3,N,0
126.635,0,N,0
126.898,2,N,0
127.135,1,N,0
127.425,3,N,0
127.688,0,N,0
127.977,2,N,0
128.214,1,N,0
128.477,3,N,0
128.74,1,N,0
129.003,2,N,0
129.214,0,N,0
131.398,0,N,3.473
135.607,1,N,4.578
141.554,2,N,2.921
145.448,4,L,4.236
147,3,N,0
147.553,2,N,0
148.816,2,N,0
150.394,3,N,3.71
151.947,1,N,0
152.552,0,N,0
153.367,1,N,0
154.999,5,R,2.973
155.709,1,N,0
156.314,0,N,0
156.919,1,N,0
157.604,0,N,0
159.814,1,N,2.71
160.445,2,N,0
161.024,3,N,0
161.603,2,N,0
163.655,0,N,3.105
164.339,2,N,0
164.918,3,N,0
165.628,2,N,0
168.444,3,N,2.026
168.97,1,N,0
169.654,0,N,0
172.311,2,N,1.947
173.022,1,N,0
173.601,0,N,0
175.863,2,N,0
176.416,1,N,0
177.021,3,N,0
177.653,2,N,0
177.679,3,N,0
179.705,1,N,0
179.705,0,N,0
181.652,2,N,0
181.705,1,N,0
183.757,2,N,0
183.757,3,N,0
185.835,1,N,0
185.835,0,N,0
186.809,1,N,0
186.835,2,N,0
187.782,2,N,0
187.782,3,N,0
189.782,3,N,0
189.782,2,N,0
191.755,1,N,0
191.782,2,N,0
193.808,2,N,0
193.834,3,N,0
194.386,3,N,0
194.386,2,N,0
194.913,2,N,0
194.913,3,N,0
195.439,2,N,0
195.439,3,N,0
195.939,1,N,0
195.965,0,N,0
196.412,1,N,0
196.439,0,N,0
196.965,0,N,0
196.965,1,N,0
197.465,1,N,0
197.465,0,N,0
197.991,2,N,0
198.017,1,N,0
199.912,1,N,0
199.912,2,N,0
201.859,2,N,0
201.859,3,N,0
203.885,1,N,0
203.885,0,N,0
205.805,3,N,0
206.332,2,N,0
206.858,1,N,0
207.41,0,N,0
207.963,1,N,0
208.463,2,N,0
208.963,3,N,0
209.489,2,N,0
209.963,1,N,0
210.962,0,N,0
211.936,0,N,0
212.462,1,N,0
212.699,2,N,0
212.988,3,N,0
213.488,3,N,0
213.936,2,N,0
214.383,1,N,0
214.699,0,N,0
214.935,1,N,0
215.462,2,N,0
215.777,3,N,0
216.093,2,N,0
216.514,2,N,0
216.882,1,N,0
218.066,2,N,0
218.514,0,N,0
218.751,3,N,0
218.961,1,N,0
219.435,2,N,0
219.645,1,N,0
219.935,3,N,0
220.487,1,N,0
220.671,3,N,0
220.934,1,N,0
221.513,2,N,0
221.75,0,N,0
222.013,2,N,0
222.25,1,N,0
222.513,3,N,0
222.75,0,N,0
223.066,2,N,0
223.276,1,N,0
223.539,3,N,0
223.75,0,N,0
224.013,2,N,0
224.46,1,N,0
225.065,3,N,0
225.565,4,L,1.737
226.012,2,N,0
226.486,3,N,0
227.039,2,N,0
227.565,1,N,0
228.012,3,N,0
228.459,0,N,0
229.065,2,N,0
229.249,1,N,0
229.512,3,N,0
229.722,0,N,0
229.985,2,N,0
230.512,1,N,0
231.117,3,N,0
231.59,0,N,0
232.117,2,N,0
232.617,1,N,0
232.985,2,N,0
234.037,5,R,0
234.563,4,L,0
234.827,5,R,0
235.142,4,L,0
235.616,5,R,0
236.09,0,N,0
236.589,3,N,0
237.142,1,N,0
237.695,2,N,0
238.142,0,N,0
238.589,3,N,0
239.168,1,N,0
239.589,2,N,0
240.089,4,L,0
240.694,4,L,0
240.931,3,N,0
241.247,4,L,0
241.694,3,N,0
242.115,1,N,0
242.667,2,N,0
243.115,0,N,0
243.693,3,N,0
244.167,1,N,0
244.641,2,N,0
244.904,1,N,0
245.088,3,N,0
245.588,1,N,0
246.167,5,R,0
247.193,1,N,0
248.219,1,N,0
249.245,1,N,0
250.192,2,N,0
